search_keyword,company_name,title,link,location,location_detail,experience_required,education_required,employment_type,deadline,job_sector,salary_info,description,tech_stack,benefits,crawled_at
Python 개발자,마인드원(주),소프트웨어 개발 (Java&Python) 신입 및 경력 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49167327&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,신입,대졸↑,정규직,~ 12/09(월),"Python, Java, 솔루션, 웹개발, 알고리즘 외                    수정일 24/12/05",IT개발·데이터 지원 TOP100,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,(주)매그파이소프트,웹 개발자 채용(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49533882&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,대전 중구,,경력무관,대졸↑,정규직,~ 01/04(토),"Python, Java, 딥러닝, 머신러닝, 웹개발 외                    수정일 24/12/05",디자인 지원 TOP100,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,(주)아이이에스지,백엔드 개발자 Backend Developer (전환형 인턴),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49483778&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 용산구,,신입,학력무관,인턴직,~ 12/20(금),"Python, Java, AWS, 솔루션, 백엔드/서버개발 외                    수정일 24/11/27",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,중앙일보(주),[중앙일보] 플랫폼개발팀 백엔드개발 경력 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49511300&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 마포구,,경력 3~10년,대졸↑,정규직,~ 12/15(일),"Python, Java, 웹개발, 백엔드/서버개발, 유지보수 외                    수정일 24/12/02",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,(사)한국아이씨티기술협회,[국비무료IT취업]자바파이썬/웹개발/빅데이터/인공지능,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49333137&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울전체,,경력무관,학력무관,교육생,~ 12/11(수),"Python, Java, AWS, 솔루션, 웹개발 외                    수정일 24/12/03",연봉상승률 30% 이상,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,법무법인와이케이,[국내TOP7로펌/법무법인YK] 강남본사 프론트엔드/ 백엔드 개발담당자 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445132&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,신입·경력,학력무관,정규직,~ 12/20(금),"Python, Java, AWS, 웹개발, 백엔드/서버개발 외                    수정일 24/11/21",평균연봉 상위 10%,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:28
Python 개발자,스피치로그(주),[빅데이터 AI 스타트업] 개발/기획/영업 부문별 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49488773&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 용산구,,신입·경력,초대졸↑,정규직·인턴직,~ 12/08(일),"Python, Java, 딥러닝, AWS, 솔루션 외                    수정일 24/12/03",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,(주)제로웹,"[부산본사] 백엔드, 프론트엔드 개발자(경력) 채용",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49180074&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,부산 해운대구,,신입·경력,학력무관,정규직,채용시,"Python, Java, AWS, Linux, 웹개발 외                    수정일 24/10/11",IT개발·데이터 지원 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,(주)테솔로,로봇/로보틱스 임베디드 엔지니어(인턴/신입/경력/전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472130&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,경기 광명시,,신입·경력,대졸↑,정규직·인턴직,~ 12/31(화),"Python, 솔루션, 알고리즘, 임베디드, 펌웨어 외                    등록일 24/11/26",생산 스크랩 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,(주)테솔로,로봇/로보틱스 S/W 엔지니어 모집(인턴/신입/경력/전문연구요원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49472136&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,경기 광명시,,신입·경력,대졸↑,정규직·인턴직,~ 12/31(화),"Python, C++, 솔루션, 알고리즘, SE(시스템엔지니어) 외                    등록일 24/11/26",건설·건축 지원 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,(주)디케이테크인,[카카오자회사] 카카오i 서비스&플랫폼 운영 및 개발,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510853&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,경기 성남시 분당구,,경력7년↑,학력무관,정규직,~ 01/01(수),"Python, Java, 웹개발, 백엔드/서버개발, 앱개발 외                    등록일 24/12/02",IT개발·데이터 지원 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,(주)더원테크,빅데이터 와 인공지능 AI 프로그램 개발자 모십니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49458875&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 금천구,,경력무관,대졸↑,정규직,~ 12/24(화),"Python, Java, 딥러닝, 머신러닝, 데이터분석가 외                    등록일 24/11/24",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,(주)지원그룹,[지원그룹] 백엔드 개발자 채용 (신입-2년차),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49491036&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,서울 강남구,,신입·경력,학력무관,정규직,채용시,"Python, AWS, 알고리즘, 백엔드/서버개발, 유지보수 외                    수정일 24/11/29",인기있는,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,칼주식회사(영업소),[일본근무/CAL주식회사] IT개발자 정사원 채용/ 미경험 신입환영,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49348031&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,일본,,경력무관,초대졸↑,정규직,오늘마감,"Python, C++, Java, 솔루션, 웹개발 외                    수정일 24/11/20",IT개발·데이터 스크랩 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
Python 개발자,미래융합교육원,건양대학교병원_바이오 메디컬 AI(의료 인공지능) 개발자 교육생 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49376633&location=ts&searchword=Python+%EA%B0%9C%EB%B0%9C%EC%9E%90&searchType=search&paid_fl=n&search_uuid=1b39d23c-e9b6-4de0-94ea-7e555181150f,대전 서구,,경력무관,대졸↑,교육생,~ 12/20(금),"Python, Java, 딥러닝, 솔루션, 머신러닝 외                    수정일 24/11/18",IT개발·데이터 스크랩 급상승,,"{""languages"": [], ""frameworks"": [], ""databases"": [], ""cloud"": [], ""tools"": []}",[],2024-12-06 09:12:29
