search_keyword,company_name,title,url,crawled_at,location,experience,education,employment_type,description,tech_stack,location_detail,salary,deadline
HR매니저,(주)아이랩스코리아,[(주)아이랩스코리아] HR Manager 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49401887&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:17,서울,경력10년↑,초대졸↑,정규직,"(주)아이랩스코리아, [(주)아이랩스코리아] HR Manager 채용, 경력:경력 10년 이상, 학력:대학졸업(2,3년)이상, 면접 후 결정, 마감일:2024-12-14, 홈페이지:www.ilabskorea.com","[""화장품"", "" 인사·노무·HRD"", "" 화장품·뷰티""]",서울 강남구,협의 후 결정,2024-12-14
HR매니저,(주)휴머스온,[휴머스온] HR Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49532914&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:18,서울,경력 5~12년,대졸↑,정규직,"(주)휴머스온, [휴머스온] HR Manager, 경력:경력 5~12년, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:상시채용, 홈페이지:www.humuson.com","[""솔루션업체"", "" 소프트웨어개발"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 솔루션·SI·ERP·CRM""]",서울 강남구,협의 후 결정,상시채용
HR매니저,(주)에이아이트릭스,HR Manager (조직문화 담당자),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479167&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:19,서울,경력5년↑,학력무관,정규직,"(주)에이아이트릭스, HR Manager (조직문화 담당자), 경력:경력 5년 이상, 학력:학력무관, 면접 후 결정, 마감일:2024-12-15, 홈페이지:www.aitrics.com","[""소프트웨어개발"", "" 기획·전략"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 솔루션·SI·ERP·CRM""]",서울 강남구,협의 후 결정,2024-12-15
HR매니저,캘리버글로벌서치 유한회사,글로벌 대기업-HR Manager(인사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49534535&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:20,서울,경력3년↑,대졸↑,정규직,"캘리버글로벌서치 유한회사, 글로벌 대기업-HR Manager(인사), 경력:경력 3년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:채용시, 홈페이지:www.calibreba.com.au","[""회계법인"", "" 인사·노무·HRD"", "" 기획·전략"", "" 세무·회계""]",서울 서초구,협의 후 결정,채용시
HR매니저,주식회사라피플코리아리미티드,외국계 HR manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49468404&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:21,경북,경력15년↑,대졸↑,정규직,"주식회사라피플코리아리미티드, 외국계 HR manager, 경력:경력 15년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-10, 홈페이지:lapeoplekorea.com","[""자동차부품"", "" 인사·노무·HRD"", "" 기계·설비·자동차""]",경북 경주시,협의 후 결정,2024-12-10
HR매니저,헌터파트너스(주),Payroll Manager 채용 - Global HR consulting,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49547828&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:22,서울,경력7년↑,대졸↑,정규직,"헌터파트너스(주), Payroll Manager 채용 - Global HR consulting, 경력:경력 7년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:채용시, 홈페이지:www.hpartners.co.kr/","[""컨설팅"", "" 인사·노무·HRD"", "" 연구소·컨설팅·조사""]",서울 강남구,협의 후 결정,채용시
HR매니저,더블유피아이씨디지털코리아유한회사(WPICDigitalKoreaLtd.),HR & GA Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49492073&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:23,서울,경력 5~6년,대졸↑,정규직,"더블유피아이씨디지털코리아유한회사(WPICDigitalKoreaLtd.), HR & GA Manager, 경력:경력 5~6년, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-29, 홈페이지:","[""유통업"", "" 물류업"", "" 인사·노무·HRD"", "" 유통·무역·상사""]",서울 중구,협의 후 결정,2024-12-29
HR매니저,HeNny & McCoy,HR Manager (차~부장급) - 외국계 유명 회사,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49497534&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:24,서울,경력8년↑,대졸↑,정규직,"HeNny & McCoy, HR Manager (차~부장급) - 외국계 유명 회사, 경력:경력 8년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-29, 홈페이지:http://www.hennymccoy.com","[""헤드헌팅"", "" 인사·노무·HRD"", "" 기획·전략"", "" 시설관리·경비·용역""]",서울 강남구,협의 후 결정,2024-12-29
HR매니저,커리어앤솔루션,글로벌 외국계 기업 HR Manager,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49537309&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:25,서울,경력 5~10년,대졸↑,정규직,"커리어앤솔루션, 글로벌 외국계 기업 HR Manager, 경력:경력 5~10년, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2024-12-11, 홈페이지:","[""헤드헌팅"", "" 인사·노무·HRD"", "" 시설관리·경비·용역""]",서울 강남구,협의 후 결정,2024-12-11
HR매니저,HeNny & McCoy,외국계 자동차부품사 HR Manager (팀장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49540386&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=9417a85f-00b0-4bd4-9c2e-63dec26b3edd,2024-12-09 04:41:26,서울,경력13년↑,대졸↑,정규직,"HeNny & McCoy, 외국계 자동차부품사 HR Manager (팀장), 경력:경력 13년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2025-01-05, 홈페이지:http://www.hennymccoy.com","[""자동차부품"", "" 총무·법무·사무"", "" 인사·노무·HRD"", "" 기계·설비·자동차""]",서울 강남구,협의 후 결정,2025-01-05
HR매니저,굿커리어,대기업계열 HR Manager (대리~부장),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49531445&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=31bd1cd6-c977-48ea-8006-0565966a447e,2024-12-09 04:41:28,서울,경력5년↑,대졸↑,정규직,"굿커리어, 대기업계열 HR Manager (대리~부장), 경력:경력 5년 이상, 학력:대학교졸업(4년)이상, 면접 후 결정, 마감일:2025-01-04, 홈페이지:www.goodcareer.co.kr","[""헤드헌팅"", "" 인사·노무·HRD"", "" 총무·법무·사무"", "" 회계·세무·재무"", "" 시설관리·경비·용역""]",서울 강남구,협의 후 결정,2025-01-04
HR매니저,(주)에이치알스탠다드,(주)에이치알스탠다드 콜센터 운영 매니저(Operation Manager),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49440744&location=ts&searchword=HR%EB%A7%A4%EB%8B%88%EC%A0%80&searchType=search&paid_fl=n&search_uuid=31bd1cd6-c977-48ea-8006-0565966a447e,2024-12-09 04:41:29,서울,경력,대졸↑,정규직,"(주)에이치알스탠다드, (주)에이치알스탠다드 콜센터 운영 매니저(Operation Manager), 경력:경력, 학력:대학교졸업(4년)이상, 연봉:4,000 만원, 마감일:2024-12-20, 홈페이지:https://www.hrstandard.co.kr/","[""컨설팅"", "" 기획·전략"", "" 연구소·컨설팅·조사""]",서울 종로구,4000만원,2024-12-20
